i,j,x,p,F
0,114,-10.0,1.4572864321608048,-64.57286432160805
0,115,-10.0,1.5577889447236188,-65.57788944723619
0,116,-10.0,1.658291457286433,-66.58291457286433
0,117,-10.0,1.758793969849247,-67.58793969849248
0,118,-10.0,1.859296482412061,-68.59296482412061
0,119,-10.0,1.959798994974875,-69.59798994974875
0,120,-10.0,2.060301507537689,-70.60301507537689
0,121,-10.0,2.160804020100503,-71.60804020100502
0,122,-10.0,2.2613065326633173,-72.61306532663318
0,123,-10.0,2.3618090452261313,-73.61809045226131
0,124,-10.0,2.4623115577889454,-74.62311557788945
0,125,-10.0,2.5628140703517595,-75.6281407035176
0,126,-10.0,2.6633165829145735,-76.63316582914574
0,127,-10.0,2.7638190954773876,-77.63819095477388
0,128,-10.0,2.8643216080402016,-78.64321608040201
0,129,-10.0,2.9648241206030157,-79.64824120603015
0,130,-10.0,3.0653266331658298,-80.6532663316583
0,131,-10.0,3.165829145728644,-81.65829145728644
0,132,-10.0,3.266331658291458,-82.66331658291458
0,133,-10.0,3.366834170854272,-83.66834170854273
0,134,-10.0,3.467336683417086,-84.67336683417086
0,135,-10.0,3.5678391959799,-85.678391959799
0,136,-10.0,3.668341708542714,-86.68341708542714
0,137,-10.0,3.768844221105528,-87.68844221105527
0,138,-10.0,3.8693467336683423,-88.69346733668343
0,139,-10.0,3.9698492462311563,-89.69849246231156
0,140,-10.0,4.07035175879397,-90.7035175879397
0,141,-10.0,4.170854271356784,-91.70854271356785
0,142,-10.0,4.2713567839195985,-92.71356783919599
0,143,-10.0,4.371859296482413,-93.71859296482413
0,144,-10.0,4.472361809045227,-94.72361809045226
0,145,-10.0,4.572864321608041,-95.7286432160804
0,146,-10.0,4.673366834170855,-96.73366834170855
0,147,-10.0,4.773869346733669,-97.73869346733669
0,148,-10.0,4.874371859296483,-98.74371859296483
0,149,-10.0,4.974874371859297,-99.74874371859298
0,150,-10.0,5.075376884422111,-100.75376884422111
0,151,-10.0,5.175879396984925,-101.75879396984925
0,152,-10.0,5.276381909547739,-102.76381909547739
0,153,-10.0,5.376884422110553,-103.76884422110552
0,154,-10.0,5.477386934673367,-104.77386934673368
0,155,-10.0,5.577889447236181,-105.77889447236181
0,156,-10.0,5.678391959798995,-106.78391959798995
0,157,-10.0,5.778894472361809,-107.7889447236181
0,158,-10.0,5.8793969849246235,-108.79396984924624
0,159,-10.0,5.9798994974874375,-109.79899497487438
0,160,-10.0,6.080402010050253,-110.80402010050253
0,161,-10.0,6.180904522613066,-111.80904522613065
0,162,-10.0,6.2814070351758815,-112.81407035175882
0,163,-10.0,6.381909547738694,-113.81909547738694
0,164,-10.0,6.48241206030151,-114.8241206030151
0,165,-10.0,6.582914572864322,-115.82914572864323
0,166,-10.0,6.683417085427138,-116.83417085427138
0,167,-10.0,6.78391959798995,-117.8391959798995
0,168,-10.0,6.884422110552766,-118.84422110552765
0,169,-10.0,6.984924623115578,-119.84924623115577
0,170,-10.0,7.085427135678394,-120.85427135678394
0,171,-10.0,7.185929648241206,-121.85929648241206
0,172,-10.0,7.286432160804022,-122.86432160804023
0,173,-10.0,7.386934673366834,-123.86934673366835
0,174,-10.0,7.48743718592965,-124.8743718592965
0,175,-10.0,7.5879396984924625,-125.87939698492463
0,176,-10.0,7.688442211055278,-126.88442211055278
0,177,-10.0,7.788944723618091,-127.8894472361809
0,178,-10.0,7.8894472361809065,-128.89447236180905
0,179,-10.0,7.989949748743719,-129.8994974874372
0,180,-10.0,8.090452261306535,-130.90452261306535
0,181,-10.0,8.190954773869347,-131.90954773869348
0,182,-10.0,8.291457286432163,-132.91457286432163
0,183,-10.0,8.391959798994975,-133.91959798994975
0,184,-10.0,8.49246231155779,-134.9246231155779
0,185,-10.0,8.592964824120603,-135.92964824120602
0,186,-10.0,8.693467336683419,-136.9346733668342
0,187,-10.0,8.793969849246231,-137.9396984924623
0,188,-10.0,8.894472361809047,-138.94472361809048
0,189,-10.0,8.99497487437186,-139.9497487437186
0,190,-10.0,9.095477386934675,-140.95477386934675
0,191,-10.0,9.195979899497488,-141.95979899497488
0,192,-10.0,9.296482412060303,-142.96482412060303
0,193,-10.0,9.396984924623116,-143.96984924623115
0,194,-10.0,9.497487437185931,-144.9748743718593
0,195,-10.0,9.597989949748744,-145.97989949748745
0,196,-10.0,9.69849246231156,-146.9849246231156
0,197,-10.0,9.798994974874372,-147.98994974874373
0,198,-10.0,9.899497487437188,-148.99497487437188
0,199,-10.0,10.0,-150.0
1,0,-9.899497487437186,-10.0,49.994949622484285
1,1,-9.899497487437186,-9.899497487437186,49.00002525188758
1,2,-9.899497487437186,-9.798994974874372,48.00510088129087
1,3,-9.899497487437186,-9.698492462311558,47.01017651069418
1,4,-9.899497487437186,-9.597989949748744,46.01525214009747
1,5,-9.899497487437186,-9.49748743718593,45.02032776950077
1,6,-9.899497487437186,-9.396984924623116,44.025403398904075
1,7,-9.899497487437186,-9.296482412060302,43.03047902830737
1,8,-9.899497487437186,-9.195979899497488,42.03555465771066
1,9,-9.899497487437186,-9.095477386934673,41.040630287113956
1,10,-9.899497487437186,-8.99497487437186,40.045705916517264
1,11,-9.899497487437186,-8.894472361809045,39.05078154592056
1,12,-9.899497487437186,-8.793969849246231,38.05585717532385
1,13,-9.899497487437186,-8.693467336683417,37.06093280472716
1,14,-9.899497487437186,-8.592964824120603,36.06600843413045
1,15,-9.899497487437186,-8.492462311557789,35.071084063533746
1,16,-9.899497487437186,-8.391959798994975,34.076159692937054
1,17,-9.899497487437186,-8.291457286432161,33.08123532234035
1,18,-9.899497487437186,-8.190954773869347,32.08631095174364
1,19,-9.899497487437186,-8.090452261306533,31.09138658114695
1,20,-9.899497487437186,-7.989949748743719,30.096462210550243
1,21,-9.899497487437186,-7.889447236180905,29.101537839953536
1,22,-9.899497487437186,-7.788944723618091,28.10661346935683
1,23,-9.899497487437186,-7.688442211055277,27.111689098760138
1,24,-9.899497487437186,-7.5879396984924625,26.11676472816343
1,25,-9.899497487437186,-7.4874371859296485,25.121840357566725
1,26,-9.899497487437186,-7.386934673366834,24.126915986970033
1,27,-9.899497487437186,-7.28643216080402,23.131991616373327
1,28,-9.899497487437186,-7.185929648241206,22.13706724577662
1,29,-9.899497487437186,-7.085427135678392,21.14214287517993
1,30,-9.899497487437186,-6.984924623115578,20.147218504583222
1,31,-9.899497487437186,-6.884422110552764,19.152294133986516
1,32,-9.899497487437186,-6.78391959798995,18.157369763389823
1,33,-9.899497487437186,-6.683417085427136,17.162445392793117
1,34,-9.899497487437186,-6.582914572864322,16.16752102219641
1,35,-9.899497487437186,-6.482412060301508,15.172596651599704
1,36,-9.899497487437186,-6.381909547738694,14.177672281003005
1,37,-9.899497487437186,-6.28140703517588,13.182747910406306
1,38,-9.899497487437186,-6.180904522613066,12.187823539809607
1,39,-9.899497487437186,-6.080402010050252,11.1928991692129
1,40,-9.899497487437186,-5.979899497487437,10.197974798616194
1,41,-9.899497487437186,-5.879396984924623,9.203050428019488
1,42,-9.899497487437186,-5.7788944723618085,8.208126057422788
1,43,-9.899497487437186,-5.6783919597989945,7.213201686826089
1,44,-9.899497487437186,-5.57788944723618,6.218277316229383
1,45,-9.899497487437186,-5.477386934673366,5.2233529456326835
1,46,-9.899497487437186,-5.376884422110552,4.228428575035977
1,47,-9.899497487437186,-5.276381909547738,3.233504204439278
1,48,-9.899497487437186,-5.175879396984924,2.2385798338425786
1,49,-9.899497487437186,-5.07537688442211,1.2436554632458723
1,50,-9.899497487437186,-4.974874371859296,0.24873109264917304
1,51,-9.899497487437186,-4.874371859296482,-0.7461932779475333
1,52,-9.899497487437186,-4.773869346733668,-1.7411176485442326
1,53,-9.899497487437186,-4.673366834170854,-2.736042019140932
1,54,-9.899497487437186,-4.57286432160804,-3.730966389737638
1,55,-9.899497487437186,-4.472361809045226,-4.725890760334337
