i,j,x,p,F
1,100,0.05025125628140792,-9.899497487437186,-0.4987247796772897
1,101,0.15075376884422198,-9.899497487437186,-1.5037499053054304
1,102,0.25125628140703604,-9.899497487437186,-2.5188757859650095
1,103,0.3517587939698501,-9.899497487437186,-3.544102421656028
1,104,0.45226130653266416,-9.899497487437186,-4.579429812378484
1,105,0.5527638190954782,-9.899497487437186,-5.624857958132379
1,106,0.6532663316582923,-9.899497487437186,-6.6803868589177124
1,107,0.7537688442211063,-9.899497487437186,-7.746016514734485
1,108,0.8542713567839204,-9.899497487437186,-8.821746925582696
1,109,0.9547738693467345,-9.899497487437186,-9.907578091462346
1,110,1.0552763819095485,-9.899497487437186,-11.003510012373432
1,111,1.1557788944723626,-9.899497487437186,-12.10954268831596
1,112,1.2562814070351767,-9.899497487437186,-13.225676119289925
1,113,1.3567839195979907,-9.899497487437186,-14.351910305295329
1,114,1.4572864321608048,-9.899497487437186,-15.488245246332173
1,115,1.5577889447236188,-9.899497487437186,-16.634680942400454
1,116,1.658291457286433,-9.899497487437186,-17.791217393500173
1,117,1.758793969849247,-9.899497487437186,-18.957854599631332
1,118,1.859296482412061,-9.899497487437186,-20.134592560793926
1,119,1.959798994974875,-9.899497487437186,-21.321431276987965
1,120,2.060301507537689,-9.899497487437186,-22.518370748213435
1,121,2.160804020100503,-9.899497487437186,-23.72541097447035
1,122,2.2613065326633173,-9.899497487437186,-24.942551955758702
1,123,2.3618090452261313,-9.899497487437186,-26.169793692078493
1,124,2.4623115577889454,-9.899497487437186,-27.40713618342972
1,125,2.5628140703517595,-9.899497487437186,-28.654579429812387
1,126,2.6633165829145735,-9.899497487437186,-29.91212343122649
1,127,2.7638190954773876,-9.899497487437186,-31.17976818767204
1,128,2.8643216080402016,-9.899497487437186,-32.45751369914902
1,129,2.9648241206030157,-9.899497487437186,-33.74535996565744
1,130,3.0653266331658298,-9.899497487437186,-35.0433069871973
1,131,3.165829145728644,-9.899497487437186,-36.3513547637686
1,132,3.266331658291458,-9.899497487437186,-37.669503295371335
1,133,3.366834170854272,-9.899497487437186,-38.99775258200552
1,134,3.467336683417086,-9.899497487437186,-40.336102623671124
1,135,3.5678391959799,-9.899497487437186,-41.68455342036818
1,136,3.668341708542714,-9.899497487437186,-43.04310497209667
1,137,3.768844221105528,-9.899497487437186,-44.4117572788566
1,138,3.8693467336683423,-9.899497487437186,-45.79051034064797
1,139,3.9698492462311563,-9.899497487437186,-47.17936415747078
1,140,4.07035175879397,-9.899497487437186,-48.57831872932503
1,141,4.170854271356784,-9.899497487437186,-49.98737405621071
1,142,4.2713567839195985,-9.899497487437186,-51.406530138127835
1,143,4.371859296482413,-9.899497487437186,-52.835786975076395
1,144,4.472361809045227,-9.899497487437186,-54.275144567056394
1,145,4.572864321608041,-9.899497487437186,-55.72460291406783
1,146,4.673366834170855,-9.899497487437186,-57.18416201611071
1,147,4.773869346733669,-9.899497487437186,-58.653821873185024
1,148,4.874371859296483,-9.899497487437186,-60.13358248529079
1,149,4.974874371859297,-9.899497487437186,-61.623443852427975
1,150,5.075376884422111,-9.899497487437186,-63.12340597459661
1,151,5.175879396984925,-9.899497487437186,-64.63346885179668
1,152,5.276381909547739,-9.899497487437186,-66.15363248402818
1,153,5.376884422110553,-9.899497487437186,-67.68389687129114
1,154,5.477386934673367,-9.899497487437186,-69.22426201358552
1,155,5.577889447236181,-9.899497487437186,-70.77472791091134
1,156,5.678391959798995,-9.899497487437186,-72.3352945632686
1,157,5.778894472361809,-9.899497487437186,-73.90596197065732
1,158,5.8793969849246235,-9.899497487437186,-75.48673013307746
1,159,5.9798994974874375,-9.899497487437186,-77.07759905052903
1,160,6.080402010050253,-9.899497487437186,-78.67856872301208
1,161,6.180904522613066,-9.899497487437186,-80.28963915052651
1,162,6.2814070351758815,-9.899497487437186,-81.91081033307243
1,163,6.381909547738694,-9.899497487437186,-83.54208227064973
1,164,6.48241206030151,-9.899497487437186,-85.18345496325854
1,165,6.582914572864322,-9.899497487437186,-86.83492841089873
1,166,6.683417085427138,-9.899497487437186,-88.4965026135704
1,167,6.78391959798995,-9.899497487437186,-90.16817757127346
1,168,6.884422110552766,-9.899497487437186,-91.84995328400801
1,169,6.984924623115578,-9.899497487437186,-93.54182975177395
1,170,7.085427135678394,-9.899497487437186,-95.24380697457138
1,171,7.185929648241206,-9.899497487437186,-96.9558849524002
1,172,7.286432160804022,-9.899497487437186,-98.6780636852605
1,173,7.386934673366834,-9.899497487437186,-100.4103431731522
1,174,7.48743718592965,-9.899497487437186,-102.15272341607539
1,175,7.5879396984924625,-9.899497487437186,-103.90520441402995
1,176,7.688442211055278,-9.899497487437186,-105.66778616701602
1,177,7.788944723618091,-9.899497487437186,-107.44046867503346
1,178,7.8894472361809065,-9.899497487437186,-109.2232519380824
1,179,7.989949748743719,-9.899497487437186,-111.01613595616273
1,180,8.090452261306535,-9.899497487437186,-112.81912072927454
1,181,8.190954773869347,-9.899497487437186,-114.63220625741775
1,182,8.291457286432163,-9.899497487437186,-116.45539254059244
1,183,8.391959798994975,-9.899497487437186,-118.28867957879852
1,184,8.49246231155779,-9.899497487437186,-120.1320673720361
1,185,8.592964824120603,-9.899497487437186,-121.98555592030505
1,186,8.693467336683419,-9.899497487437186,-123.8491452236055
1,187,8.793969849246231,-9.899497487437186,-125.72283528193732
1,188,8.894472361809047,-9.899497487437186,-127.60662609530065
1,189,8.99497487437186,-9.899497487437186,-129.50051766369538
1,190,9.095477386934675,-9.899497487437186,-131.40450998712157
1,191,9.195979899497488,-9.899497487437186,-133.31860306557917
1,192,9.296482412060303,-9.899497487437186,-135.24279689906825
1,193,9.396984924623116,-9.899497487437186,-137.1770914875887
1,194,9.497487437185931,-9.899497487437186,-139.12148683114066
1,195,9.597989949748744,-9.899497487437186,-141.075982929724
1,196,9.69849246231156,-9.899497487437186,-143.04057978333884
1,197,9.798994974874372,-9.899497487437186,-145.01527739198505
1,198,9.899497487437188,-9.899497487437186,-147.00007575566278
1,199,10.0,-9.899497487437186,-148.99497487437185
2,0,-10.0,-9.798994974874372,47.989949748743726
2,1,-9.899497487437186,-9.798994974874372,48.00510088129087
2,2,-9.798994974874372,-9.798994974874372,48.010151258806594
